user_id,announce_time,location,authenticated_flag,type,forward_num,comment_num,sum,interact_id,interact_content,original_content
6524186068,2019/9/25 10:57,福建,认证,原创,1,31,32, ,太好了！ 打的好！[good][good]港独?日报一名记者刚刚被人打了……?日报发文说：我们无畏无惧，我们绝不屈服。[摊手]#谢谢你守护香港# ?, 
2558858965,2019/9/25 10:57,广东 深圳,认证,转发,1,0,1,7271810705,//@青冥童子 : http://t.cn/AinS7M4M //@梁茶叔 : OK 睡不着了[微笑]//@两只ihz :女孩子才是香香软软！//@utddvgrwsm :我醒了（哈哈//@折原閑也 ://@白箱自修室 :dhksucdkidodmf//@神奇葱宝贝 :好像可以代餐((//@百合号同温层重型截击机 ://@GEMi_25 :首页分享好东西//@害羞人Saya : 阿//: 啊,?kiss好绝 我也想要女朋友? http://t.cn/AiHQDzij ?
2672771511,2019/9/25 11:23,香港 其他,非认证,转发,0,1,1,5692553334,画面极度舒适，欢迎转发多次查看！对待废青暴徒港独等就应该这样对待！,[话筒]快讯：这是昨晚香港警方旺角战果，一名暴力分子聚集旺角警署搞事，果然是香港速龍小队出手就是果断！拘捕多名暴力分子。这画面极度舒服……早就应该这样了！我们支持香港警方严正执法。[good][good] ?#央视主播告诉你爱国最好的打开方式##北京大兴国际机场投运#  http://t.cn/AinSMMnZ  ?...全文： http://weibo.com/5692553334/I8xDi0Zxi
1966984351,2019/9/25 11:25,海外,非认证,转发,5,0,5,7271810705,[赞]//@平平kyukou:看哭了//@仓鼠sukidesu://@樱樱樱少:我………//@黄金温温烧_:我好了//@高桥菊介:[害羞]//@折原閑也: //@白箱自修室:dhksucdkidodmf//@神奇葱宝贝:好像可以代餐((//@百合号同温层重型截击机://@GEMi_25:首页分享好东西//@害羞人Saya: 阿//@星野诗乃: 啊,?kiss好绝 我也想要女朋友? http://t.cn/AiHQDzij ?
5121005277,2019/9/25 11:33,海外,认证,原创,7,9,16, ,#车银优[超话]# ? #车银优新入史官丘海昤#[190925 视频]Naver更新银优相关一则标题翻译：《电视剧 探究生活》车银优的诞生日 发生的事翻译/海盐CR.???? ??? 【饭拍禁止二改禁去logo禁商用，转载请注明原出处】?银优个人官方INS?【eunwo.o_c】?香港FM礼包购买?...全文： http://weibo.com/5121005277/I8xYUk3E6 ?, 
6082395308,2019/9/25 11:36,上海,认证,原创,1,0,1, ,#扫毒2天地对决#确认代表中国香港竞逐第92届#奥斯卡#最佳国际影片奖！电影在今年暑期档的混战中，一举拿下12亿票房，这一次又代表香港出战奥斯卡，真·港片赢家了！[酷]咪咕视频热映中，错过的小伙伴快来补片～http://t.cn/AinSelGV ?, 
1923969675,2019/9/25 11:37,河北 石家庄,认证,原创,1,1,2, ,#1024微推荐##相信香港# 【 这一幕太燃了！数百香港市民如此表白祖国】http://t.cn/AinigAGc“五星红旗迎风飘扬，胜利歌声多么响亮……”24日13时，数百名香港市民聚集在太古广场发起“快闪”活动，挥舞国旗，高唱国歌和《歌唱祖国》等歌曲。在新中国成立70周年之际“表白”祖国，献上自己的祝福，现场简直太燃了！@广州日报 http://t.cn/AinSdMcB, 
1767601481,2019/9/25 12:24,广东,非认证,转发,1,0,1,5564927603,装聋装瞎的人永远不会听得到，不会看得到的。香港跟内地也就是一张回乡证和高铁票的距离，他们就是不愿意回来看一下。反而羡慕千里之外的美国和英国。他眼上抹眼屎了，难道我还要帮他抹不成？[摊手],脸书群组上有一个内地90后小伙子，用朴实的语言描述了自己的生活和对社会的看法，引起了两地网友的热烈讨论（图3还有个台湾小哥也加入进来讨论），我觉得很有代表性，也分享给大家 ?
1946365372,2019/9/25 12:34,香港,认证,原创,0,1,1, ,后天去香港??娇兰复原蜜50ml，强大修复力，抗老不二选择！一次3滴，有的亲说油皮不适合 这是错误哒，第一它吸收很快，第二油皮其实也是缺水，一瓶用下来，你会发现皮肤已很大改善#微博橱窗# http://t.cn/AinoqTgc ?, 
1653962885,2019/9/25 12:38,四川 成都,非认证,转发,0,1,1,1489482040,//@顾惜之://@清於门下茶僮子: //@西西小吟:我们可以以暴制暴没事，记者你看到他的大金链子吗[吃瓜]//@最好率性似当初:以暴制暴[允悲]//@南风-日常私炮坊:这个记者一直在挖坑 但是大哥一看就是对香港局势发展门清 每一点都怼得妓者哑口无言 以暴制暴很绝杀了//@船人老姚:我们可以以暴制暴[允悲],内地大哥受访，最后一句很刚! http://t.cn/AinivHSa ?
1596684260,2019/9/25 12:44,四川 成都,非认证,转发,1,0,1,6463427585,//@我可以睡您吗 :#朱一龙我和我的祖国#,#朱一龙我和我的祖国# 《我和我的祖国 电影幕后纪实节目》第1期预告 杜江朱一龙再现香港回归仪仗队风采 http://t.cn/AinoLFoI ?
1764332911,2019/9/25 12:44,北京 海淀区,非认证,转发,1,0,1,1618051664,拆李小龙故居，放了一张韩国替身的剧照,【#李小龙香港故居被拆除#】9月24日，李小龙会在社交网站宣布，李小龙故居将于当日正式拆毁，更心痛写下“一代巨星故居终作飞灰”。据港媒报道，故居业主表示，预计最快2020年改建为国学教育中心。消息一出，网友纷纷表达遗憾和不满。报道称，李小龙故居位于香港九龙塘金巴伦道41号，他上世纪70年代曾...全文： http://weibo.com/1618051664/I8yiSptDf ?
